t,x,y
0.000000,0.963039,-0.499583
0.207093,0.963039,-0.499583
0.256204,0.963039,-0.499583
0.302999,0.963039,-0.499583
0.352129,0.963039,-0.499583
0.400120,0.963039,-0.499583
0.447319,0.963039,-0.499583
0.496071,0.963039,-0.499583
0.542587,0.963039,-0.499583
0.592218,0.963039,-0.499583
0.655779,0.963039,-0.499583
0.702961,0.963039,-0.499583
0.750940,0.963039,-0.499583
0.798964,0.963039,-0.499583
0.846920,0.963039,-0.499583
0.910739,0.963039,-0.499583
0.942266,0.963039,-0.499583
1.006652,0.963039,-0.499583
1.055953,0.963039,-0.499583
1.102969,0.963039,-0.499583
1.151005,0.963039,-0.499583
1.199978,0.963039,-0.499583
1.246754,0.963039,-0.499583
1.299140,0.963039,-0.499583
1.343171,0.963039,-0.499583
1.407143,0.963039,-0.499583
1.456210,0.963039,-0.499583
1.502955,0.963039,-0.499583
1.550966,0.963039,-0.499583
1.599940,0.963039,-0.499583
1.646919,0.963039,-0.499583
1.697479,0.963039,-0.499583
1.743124,0.963039,-0.499583
1.806719,0.963039,-0.499583
1.854971,0.963039,-0.499583
1.902977,0.963039,-0.499583
1.951950,0.963039,-0.499583
1.999293,0.963039,-0.499583
2.047983,0.963039,-0.499583
2.094273,0.963039,-0.499583
2.142692,0.963039,-0.499583
2.208040,0.963039,-0.499583
2.256112,0.963039,-0.499583
2.302970,0.963039,-0.499583
2.351937,0.963039,-0.499583
2.399914,0.963039,-0.499583
2.446953,0.963039,-0.499583
2.494940,0.963039,-0.499583
2.544099,0.963039,-0.499583
2.591387,0.963039,-0.499583
2.654949,0.963039,-0.499583
2.702972,0.963039,-0.499583
2.750940,0.963042,-0.499590
2.799940,0.963042,-0.499590
2.846950,0.963042,-0.499590
2.894941,0.963042,-0.499590
2.942706,0.963042,-0.499590
2.991452,0.963042,-0.499590
3.056020,0.963042,-0.499590
3.102946,0.963042,-0.499590
3.151977,0.963042,-0.499590
3.199264,0.963042,-0.499590
3.248054,0.963042,-0.499590
3.295841,0.963042,-0.499590
3.407669,0.963042,-0.499590
3.456003,0.963042,-0.499590
3.503284,0.963042,-0.499590
3.552097,0.963042,-0.499590
3.600216,0.963042,-0.499590
3.648003,0.963042,-0.499590
3.695353,0.963042,-0.499590
3.744951,0.963042,-0.499590
3.791696,0.963042,-0.499590
3.855314,0.963042,-0.499590
3.904267,0.963042,-0.499590
3.951415,0.963042,-0.499590
3.999406,0.963042,-0.499590
4.047991,0.963042,-0.499590
4.096030,0.963042,-0.499590
4.144608,0.963042,-0.499590
4.207603,0.963042,-0.499590
4.256245,0.963042,-0.499590
4.305226,0.963042,-0.499590
4.351980,0.963042,-0.499590
4.399459,0.963042,-0.499590
4.448044,0.963042,-0.499590
4.496145,0.963042,-0.499590
4.560107,0.963042,-0.499590
4.591390,0.963042,-0.499590
4.656146,0.963042,-0.499590
4.705108,0.963042,-0.499590
4.751987,0.963042,-0.499590
4.799996,0.963042,-0.499590
4.848144,0.963042,-0.499590
4.896068,0.963042,-0.499590
4.960103,0.963042,-0.499590
5.008039,0.963042,-0.499590
5.056120,0.963042,-0.499590
5.105090,0.963042,-0.499590
5.152002,0.963042,-0.499590
5.200142,0.963042,-0.499590
5.247995,0.963042,-0.499590
5.295307,0.963042,-0.499590
5.343888,0.963042,-0.499590
5.391495,0.963042,-0.499590
5.455054,0.963042,-0.499590
5.505032,0.963042,-0.499590
5.552054,0.963042,-0.499590
5.600033,0.963042,-0.499590
5.648162,0.963042,-0.499590
5.711590,0.963042,-0.499590
5.744985,0.963042,-0.499590
5.807766,0.963042,-0.499590
5.856153,0.963042,-0.499590
5.904235,0.963042,-0.499590
5.951321,0.963042,-0.499590
5.999338,0.963042,-0.499590
6.047749,0.963042,-0.499590
6.096192,0.963042,-0.499590
6.159409,0.963042,-0.499590
6.192205,0.963042,-0.499590
6.255362,0.963042,-0.499590
6.304047,0.963042,-0.499590
6.352071,0.963042,-0.499590
6.400175,0.963042,-0.499590
6.448062,0.963042,-0.499590
6.496078,0.963042,-0.499590
6.559425,0.963042,-0.499590
6.607962,0.963042,-0.499590
6.655946,0.963042,-0.499590
6.703287,0.963042,-0.499590
6.752047,0.963042,-0.499590
6.800220,0.963042,-0.499590
6.848058,0.963042,-0.499590
6.895344,0.963042,-0.499590
6.944033,0.963042,-0.499590
7.007462,0.963042,-0.499590
7.055943,0.963042,-0.499590
7.104195,0.963042,-0.499590
7.152000,0.963042,-0.499590
7.200070,0.963042,-0.499590
7.248209,0.963042,-0.499590
